name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Raleigh, NC",2023-06-26,92.7,73,82.4,97.7,73,84.6,67.9,63,0.009,100,4.17,rain,0,0,42.5,22.8,211.1,1007.8,55.8,9.9,301.3,25.9,10,60,2023-06-26T06:00:12,2023-06-26T20:34:42,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLHZ,72214103731,1328W,72213103713,1327W,KRDU,72306013722,0425W"
"Raleigh, NC",2023-06-27,88.1,66.5,78.1,88.5,66.5,78.8,63.5,62.9,0.002,100,8.33,rain,0,0,42.5,11.7,247.8,1007.6,46.5,9.8,294.4,25.7,10,30,2023-06-27T06:00:33,2023-06-27T20:34:45,0.31,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-06-28,84.9,68.1,77.5,85.3,68.1,77.7,62.4,61.4,0,0,0,,0,0,10.3,6.5,334.9,1012.7,31.9,9.3,321.5,27.8,10,10,2023-06-28T06:00:55,2023-06-28T20:34:47,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-06-29,88.6,65.8,76.5,88.6,65.8,76.9,63.5,67.1,0,0,0,,0,0,5.8,7.2,49,1016.7,35.9,5.9,265.8,23,9,10,2023-06-29T06:01:18,2023-06-29T20:34:48,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-06-30,89.1,69.9,78.6,95.1,69.9,80.6,68.5,72.6,0.24,100,8.33,rain,0,0,9.2,8.4,162.8,1016.6,73.4,5.6,227.1,19.8,8,30,2023-06-30T06:01:42,2023-06-30T20:34:46,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-01,90.2,71.5,78.3,99.9,71.5,80.9,71.8,81.5,0.021,100,8.33,rain,0,0,13.9,11.1,204.6,1015.8,68.8,6.3,225.5,19.3,9,60,2023-07-01T06:02:08,2023-07-01T20:34:43,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-02,93.6,70.6,81.8,106.1,70.6,87.2,72.3,75.1,0,0,0,,0,0,20.3,12.5,221.4,1013.9,62.5,9.2,284,24.6,10,60,2023-07-02T06:02:34,2023-07-02T20:34:38,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722,0425W"
"Raleigh, NC",2023-07-03,93.4,79.4,85.3,103.6,79.4,91.8,73.5,69,0,0,0,,0,0,23,13.3,223.1,1013.6,67.4,9,248.2,21.3,8,75,2023-07-03T06:03:02,2023-07-03T20:34:32,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-04,93.5,76.5,84.6,99.3,76.5,87.9,71,66.2,0,0,0,,0,0,17.2,9.1,248.5,1015.3,68.7,9.4,315.9,27.1,10,30,2023-07-04T06:03:31,2023-07-04T20:34:24,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722,0425W"
"Raleigh, NC",2023-07-05,90.7,73.5,80.5,98,73.5,83.1,71.5,75.3,0.042,100,8.33,rain,0,0,31.1,8.6,187.5,1016,69.8,9.5,178.4,15.4,9,30,2023-07-05T06:04:02,2023-07-05T20:34:14,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-06,90.1,72.6,80,98.1,72.6,82.9,71.8,77.3,0.024,100,16.67,rain,0,0,17.2,8.4,215.2,1013.1,67.4,9.6,228,19.8,9,30,2023-07-06T06:04:33,2023-07-06T20:34:02,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-07,93.9,73.1,81.3,103.7,73.1,84.5,72.2,75.9,0.339,100,16.67,rain,0,0,24.2,10.3,301.6,1010.8,54.9,9.1,256.4,22.1,10,30,2023-07-07T06:05:05,2023-07-07T20:33:48,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-08,88.7,72.3,78.3,98.4,72.3,80.8,72.9,84.6,0.058,100,12.5,rain,0,0,8.1,7.8,176.1,1010.7,77.1,7.9,197,17.2,9,60,2023-07-08T06:05:38,2023-07-08T20:33:33,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-09,86,71.4,75.9,94,71.4,76.9,71.6,87.1,0.094,100,25,rain,0,0,32.2,9.9,193,1009.2,76.8,7.1,244.5,21.1,10,60,2023-07-09T06:06:12,2023-07-09T20:33:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-10,84.8,72.6,76.8,89.6,72.6,77.9,69.6,79,0.279,100,16.67,rain,0,0,8.1,4,335,1011.1,76,9.7,160.3,13.7,8,30,2023-07-10T06:06:47,2023-07-10T20:32:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-11,91,67.6,78.7,92.3,67.6,79.4,65.8,68.3,0,0,0,,0,0,6.9,8.6,279.7,1014.3,32.6,9.2,312.3,27.1,10,30,2023-07-11T06:07:23,2023-07-11T20:32:37,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-12,91.5,66.9,80.5,96.1,66.9,82.5,66.7,66.4,0,0,0,,0,0,11.4,7.6,152,1015.6,32.1,9.5,315.1,27.4,10,30,2023-07-12T06:08:00,2023-07-12T20:32:15,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-13,93.2,74.1,83.9,100.6,74.1,88,71.5,68.1,0,0,0,,0,0,21.9,13,219.9,1013.4,58.6,9.6,299.1,25.8,10,30,2023-07-13T06:08:37,2023-07-13T20:31:52,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-14,87.5,73.1,79.8,98.9,73.1,84.1,73.9,82.6,1.347,100,50,rain,0,0,20.8,12.4,188.5,1013.5,79.1,9.2,167.6,14.5,10,60,2023-07-14T06:09:16,2023-07-14T20:31:26,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-15,90.6,74.4,80.9,103.2,74.4,85.7,74.3,81.5,0.011,100,12.5,rain,0,0,27.7,11.8,199.4,1013.2,74.7,9.5,289.8,25.1,10,60,2023-07-15T06:09:55,2023-07-15T20:30:59,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLHZ,72214103731,72213103713,1327W,KJNX,KRDU,72306013722"
"Raleigh, NC",2023-07-16,90.4,76.2,82.9,96.7,76.2,86,72.9,73.4,0,0,0,,0,0,19.7,11.9,237.4,1010.8,76.6,9.4,230.5,20.1,10,30,2023-07-16T06:10:34,2023-07-16T20:30:30,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-17,89.5,70,79.2,94.3,70,80.9,68.6,72,0,0,0,,0,0,8.1,6.4,320.9,1014.9,43.1,8.8,264.9,22.8,9,10,2023-07-17T06:11:15,2023-07-17T20:30:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
