name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"High Point, NC",2023-01-16,54,27.3,40.8,54,25.4,40.2,16.7,41.8,0,0,0,"rain,snow",0,0,10.3,5.7,245,1017.8,40.6,9.9,128,11.1,6,10,2023-01-16T07:29:39,2023-01-16T17:30:14,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-17,49.2,43.2,46.7,45.7,42.3,43.7,37.9,74.2,0.075,100,33.33,rain,0,0,24.2,9.6,233.2,1010.6,91.6,7.9,27.8,2.4,1,10,2023-01-17T07:29:19,2023-01-17T17:31:14,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO,0783W"
"High Point, NC",2023-01-18,63,46.5,52.8,63,43.4,51.3,46.3,80.7,0,0,0,rain,0,0,13.9,9.6,235.3,1015.2,77.8,6.3,111.3,9.7,6,10,2023-01-18T07:28:57,2023-01-18T17:32:15,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-19,65.5,50.1,59.4,65.5,50.1,59.4,54.2,83.7,0.025,100,20.83,rain,0,0,28.1,18,209.9,1010.3,82.1,8,36.6,3,3,10,2023-01-19T07:28:34,2023-01-19T17:33:16,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-20,57,40.4,50.1,57,35.1,48.2,29.7,45.8,0,0,0,,0,0,27.5,14.1,306,1013.4,16.5,9.9,170.3,14.8,7,10,2023-01-20T07:28:09,2023-01-20T17:34:18,0.96,Clear,Clear conditions throughout the day.,clear-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-21,46.9,30.8,39.2,46.9,28.4,37,24.9,57.2,0,0,0,,0,0,15,8,24.7,1022.4,43.5,9.9,159.7,13.8,6,10,2023-01-21T07:27:42,2023-01-21T17:35:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-22,39.4,36.3,38.2,39.4,30.5,35.5,34.1,85.6,0.657,100,70.83,rain,0,0,15,8,53.8,1014,95.6,5.7,17.8,1.5,1,10,2023-01-22T07:27:13,2023-01-22T17:36:22,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-23,47.3,31.9,41,41.7,28.2,35.9,31.4,71.7,0.113,100,16.67,rain,0,0,31.5,17.7,296,1013.7,70.1,8.4,105.6,9.2,7,10,2023-01-23T07:26:42,2023-01-23T17:37:25,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-24,53.2,27.5,39,53.2,22.4,36.6,23.8,58.4,0,0,0,,0,0,11.4,8.5,255.3,1024.6,16.9,9.9,176,15.3,7,10,2023-01-24T07:26:09,2023-01-24T17:38:28,0.1,Clear,Clear conditions throughout the day.,clear-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-25,42.8,37.5,40.1,39.5,33.1,36.8,35.3,83.8,0.784,100,58.33,rain,0,0,27.5,9.7,64.9,1012.6,94,5.6,10.7,1,0,10,2023-01-25T07:25:35,2023-01-25T17:39:31,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO,0783W"
"High Point, NC",2023-01-26,48.9,35.4,41.6,44,31.3,36.7,29.9,65.4,0.003,100,8.33,rain,0,0,30.5,16.8,278.2,1013,51.7,9.2,155.8,13.4,6,10,2023-01-26T07:24:59,2023-01-26T17:40:34,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-27,46.5,28.9,37.6,42.2,24.8,33.5,19.5,50.6,0,0,0,,0,0,24.2,14,265.3,1022.3,21,9.9,179.6,15.7,7,10,2023-01-27T07:24:21,2023-01-27T17:41:37,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-28,56.8,28.9,42.7,56.8,24.6,40.2,23.5,49.2,0,0,0,,0,0,9.2,8.8,227.5,1027.4,28,9.9,171,14.8,7,10,2023-01-28T07:23:41,2023-01-28T17:42:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-29,52.9,38,43.9,52.9,34.7,42.1,34.2,69.8,0.102,100,37.5,rain,0,0,10.3,6.9,231.2,1025.1,87.3,9.1,50,4.3,2,10,2023-01-29T07:23:00,2023-01-29T17:43:44,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-30,63.4,40.7,49.7,63.4,38.1,49.2,45,84.8,0.199,100,29.17,rain,0,0,6.9,4.7,261.7,1021.3,75.5,7.5,128,11.3,6,10,2023-01-30T07:22:17,2023-01-30T17:44:47,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-31,54.2,46,50.8,54.2,44.5,50.2,50,97,0.034,100,20.83,rain,0,0,10.3,6.4,224.7,1019.9,95.4,2,32.7,3,1,10,2023-01-31T07:21:32,2023-01-31T17:45:51,0.33,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-02-01,53.3,38.7,40.9,53.3,32.5,35.9,38.2,90,0.177,100,45.83,rain,0,0,17.2,10.8,59.8,1022.4,100,8.1,32.3,2.7,1,10,2023-02-01T07:20:46,2023-02-01T17:46:54,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-02-02,43.3,37.6,40.4,41.4,33.6,38,38.5,93,0.387,100,79.17,rain,0,0,10.3,8.1,217.2,1021.3,100,7.1,32.5,3,2,10,2023-02-02T07:19:58,2023-02-02T17:47:58,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72207953888,E8956,D2048,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-02-03,44.7,28.7,39.4,40.5,23.4,33.1,19.7,48.4,0.009,100,4.17,rain,0,0,28.9,18.4,320.2,1021.3,37.3,9.5,167.3,14.6,7,10,2023-02-03T07:19:09,2023-02-03T17:49:01,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-02-04,40.3,21.9,31.1,35.1,13.4,25.6,9.7,41.1,0,0,0,,0,0,12.8,10,164.7,1034.2,31.2,9.9,191.9,16.5,7,10,2023-02-04T07:18:18,2023-02-04T17:50:04,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-02-05,55,30.6,40.9,55,25.1,37.4,25.9,55.7,0,0,0,,0,0,20.8,12.8,215,1024.7,62.1,9.9,120.7,10.4,6,10,2023-02-05T07:17:26,2023-02-05T17:51:07,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-02-06,61.4,34.1,47,61.4,33.2,45.8,28.8,55.1,0,0,0,,0,0,21.9,12.9,313.7,1019.7,13.5,9.9,194.8,16.9,7,10,2023-02-06T07:16:32,2023-02-06T17:52:10,0.53,Clear,Clear conditions throughout the day.,clear-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
